timestamp,phase,k_neighbors,resolution,algorithm,n_clusters,avg_cluster_size,nmi,accuracy,purity,ari,modularity,composite_score,elapsed_sec
2026-05-10 01:17:17,coarse,10,0.5,Leiden,582,18.865979,0.712559,0.321494,0.395446,0.136223,0.929767,0.409725,2.184124
2026-05-10 01:17:17,coarse,10,0.5,Louvain,547,20.073126,0.708641,0.315027,0.379781,0.135295,0.927756,0.403902,2.156616
2026-05-10 01:17:19,coarse,10,1.0,Leiden,638,17.210031,0.732454,0.342623,0.428780,0.165980,0.926092,0.431882,1.954097
2026-05-10 01:17:19,coarse,10,1.0,Louvain,601,18.269551,0.726649,0.337887,0.416940,0.163182,0.924027,0.426646,1.923123
2026-05-10 01:17:21,coarse,10,2.0,Leiden,704,15.596591,0.750679,0.364390,0.468944,0.197344,0.921005,0.454877,1.865332
2026-05-10 01:17:21,coarse,10,2.0,Louvain,679,16.170839,0.745339,0.361020,0.458379,0.187502,0.918569,0.449470,1.836422
2026-05-10 01:17:23,coarse,10,5.0,Leiden,808,13.589109,0.766483,0.381330,0.510929,0.217426,0.909194,0.473128,1.899208
2026-05-10 01:17:23,coarse,10,5.0,Louvain,783,14.022989,0.764535,0.381603,0.506193,0.222666,0.908194,0.473137,1.871644
2026-05-10 01:17:25,coarse,10,10.0,Leiden,908,12.092511,0.777750,0.387523,0.547723,0.230019,0.898880,0.483530,1.987626
2026-05-10 01:17:25,coarse,10,10.0,Louvain,885,12.406780,0.774920,0.385610,0.539435,0.229979,0.898319,0.481145,1.805321
2026-05-10 01:17:28,coarse,10,20.0,Leiden,1025,10.712195,0.787882,0.394536,0.582423,0.243002,0.884176,0.493746,2.877428
2026-05-10 01:17:28,coarse,10,20.0,Louvain,998,11.002004,0.784818,0.390893,0.573862,0.240129,0.883063,0.489969,2.792398
2026-05-10 01:17:33,coarse,10,40.0,Leiden,1168,9.400685,0.797073,0.391985,0.623679,0.248568,0.865306,0.498326,3.823574
2026-05-10 01:17:33,coarse,10,40.0,Louvain,1143,9.606299,0.795153,0.389800,0.616485,0.239915,0.863706,0.494751,3.666959
2026-05-10 01:17:35,coarse,10,80.0,Leiden,1319,8.324488,0.803263,0.378962,0.656557,0.232647,0.837228,0.492548,2.399319
2026-05-10 01:17:35,coarse,10,80.0,Louvain,1300,8.446154,0.802519,0.381239,0.653370,0.235888,0.838035,0.493745,2.480873
2026-05-10 01:17:38,coarse,15,0.5,Leiden,290,37.862069,0.685653,0.298998,0.326594,0.113731,0.873357,0.380017,2.296554
2026-05-10 01:17:38,coarse,15,0.5,Louvain,263,41.749049,0.680884,0.291712,0.314663,0.125865,0.870679,0.375913,2.303449
2026-05-10 01:17:41,coarse,15,1.0,Leiden,342,32.105263,0.710618,0.331876,0.368488,0.158040,0.867239,0.411978,3.215904
2026-05-10 01:17:41,coarse,15,1.0,Louvain,317,34.637224,0.705376,0.320401,0.350546,0.151339,0.864650,0.402264,3.203614
2026-05-10 01:17:43,coarse,15,2.0,Leiden,391,28.081841,0.729748,0.353916,0.401002,0.195971,0.860111,0.435409,2.124580
2026-05-10 01:17:43,coarse,15,2.0,Louvain,376,29.202128,0.727734,0.354645,0.396266,0.197915,0.857127,0.435039,2.087648
2026-05-10 01:17:46,coarse,15,5.0,Leiden,512,21.445312,0.756305,0.388160,0.463206,0.230383,0.843031,0.468371,2.182653
2026-05-10 01:17:46,coarse,15,5.0,Louvain,482,22.780083,0.748918,0.378962,0.446721,0.226972,0.842248,0.460095,2.168215
2026-05-10 01:17:49,coarse,15,10.0,Leiden,616,17.824675,0.768525,0.396539,0.502914,0.251443,0.824594,0.481212,3.561563
2026-05-10 01:17:49,coarse,15,10.0,Louvain,590,18.610169,0.765383,0.393898,0.492987,0.250907,0.823203,0.478120,3.225288
2026-05-10 01:17:53,coarse,15,20.0,Leiden,726,15.123967,0.781251,0.408470,0.543807,0.267186,0.805838,0.495236,2.984198
2026-05-10 01:17:53,coarse,15,20.0,Louvain,700,15.685714,0.777487,0.402186,0.531148,0.259109,0.803082,0.488726,2.873899
